Main: Beginning execution
Main: logfile 'yfiblog.txt
enter Assemble
BINARY LENGTH, WORDCOUNT 112 56
 READ ITEM  0:   -24553 ffffa017 1010000000010111
 READ ITEM  1:   -32741 ffff801b 1000000000011011
 READ ITEM  2:    16411 0000401b 0100000000011011
 READ ITEM  3:   -24551 ffffa019 1010000000011001
 READ ITEM  4:    16410 0000401a 0100000000011010
 READ ITEM  5:   -24551 ffffa019 1010000000011001
 READ ITEM  6:   -32744 ffff8018 1000000000011000
 READ ITEM  7:    -8189 ffffe003 1110000000000011
 READ ITEM  8:    20507 0000501b 0101000000011011
 READ ITEM  9:   -20453 ffffb01b 1011000000011011
 READ ITEM 10:    16409 00004019 0100000000011001
 READ ITEM 11:   -24550 ffffa01a 1010000000011010
 READ ITEM 12:    16408 00004018 0100000000011000
 READ ITEM 13:   -24553 ffffa017 1010000000010111
 READ ITEM 14:   -32746 ffff8016 1000000000010110
 READ ITEM 15:    16407 00004017 0100000000010111
 READ ITEM 16:   -24549 ffffa01b 1010000000011011
 READ ITEM 17:   -32746 ffff8016 1000000000010110
 READ ITEM 18:    16411 0000401b 0100000000011011
 READ ITEM 19:   -24553 ffffa017 1010000000010111
 READ ITEM 20:        3 00000003 0000000000000011
 READ ITEM 21:    -8190 ffffe002 1110000000000010
 READ ITEM 22:        1 00000001 0000000000000001
 READ ITEM 23:       -5 fffffffb 1111111111111011
 READ ITEM 24:        8 00000008 0000000000001000
 READ ITEM 25:       13 0000000d 0000000000001101
 READ ITEM 26:    -4096 fffff000 1111000000000000
 READ ITEM 27:       40 00000028 0000000000101000
 READ ITEM 28:      -52 ffffffcc 1111111111001100
 READ ITEM 29:      -52 ffffffcc 1111111111001100
 READ ITEM 30:      -52 ffffffcc 1111111111001100
 READ ITEM 31:      -52 ffffffcc 1111111111001100
 READ ITEM 32:      -52 ffffffcc 1111111111001100
 READ ITEM 33:      -52 ffffffcc 1111111111001100
 READ ITEM 34:      -52 ffffffcc 1111111111001100
 READ ITEM 35:      -52 ffffffcc 1111111111001100
 READ ITEM 36:      -52 ffffffcc 1111111111001100
 READ ITEM 37:      -52 ffffffcc 1111111111001100
 READ ITEM 38:      -52 ffffffcc 1111111111001100
 READ ITEM 39:      -52 ffffffcc 1111111111001100
 READ ITEM 40:    -4096 fffff000 1111000000000000
 READ ITEM 41:      -52 ffffffcc 1111111111001100
 READ ITEM 42:      -52 ffffffcc 1111111111001100
 READ ITEM 43:      -52 ffffffcc 1111111111001100
 READ ITEM 44:      -52 ffffffcc 1111111111001100
 READ ITEM 45:      -52 ffffffcc 1111111111001100
 READ ITEM 46:      -52 ffffffcc 1111111111001100
 READ ITEM 47:      -52 ffffffcc 1111111111001100
 READ ITEM 48:      -52 ffffffcc 1111111111001100
 READ ITEM 49:      -52 ffffffcc 1111111111001100
 READ ITEM 50:      -52 ffffffcc 1111111111001100
 READ ITEM 51:      -52 ffffffcc 1111111111001100
 READ ITEM 52:      -52 ffffffcc 1111111111001100
 READ ITEM 53:      -52 ffffffcc 1111111111001100
 READ ITEM 54:      -52 ffffffcc 1111111111001100
 READ ITEM 55:      -52 ffffffcc 1111111111001100
leave Assemble
Main: Ending execution
